id	minutes	views	in_corpus	title
DALAt9bCJ38	38	26000	no	The Clever Tricks of CONJURATION WIZARD - BG3 Gale Honor Build Guide
eZ4dlKktAhk	30	29000	no	5 WEIRD TRICKS and BIZARRE TACTICS - BG3 Mechanics Deep Dive
4EMPn0PnS4g	32	24000	no	FIFTEEN MORE GREAT MODS for Consoles / Macs / PC - BG3 Mod Highlights August 2026
4SCUKcM3mZw	71	53000	no	The MIGHTIEST Party In Baldur's Gate 3 - Honor Mode Devilfoil Mask Full Party Build Guide
TTZZFDdmAXg	58	31000	no	COMPLETE Wild Shape Guide - BG3 Druid Mechanics Deep Dive
KR6AfOn4XLM	32	41000	no	TEN MORE GREAT MODS for Consoles / Macs / PC - BG3 Mod Highlights April 2026
KaS6zqeSkP8	63	36000	no	COMPLETE Conjure Elemental Guide - BG3 Mechanics and Summons Deep Dive
MknqT-JsyQY	23	29000	no	This Build Is Actually Four Dogs - Baldur's Gate 3 Honour Build Guide
vWvpheCFqbc	42	32000	no	Stealth Archer Cleric BREAKS THE GAME (Literally) - Shadowheart Honour Build Guide
Jk0KrLcfeCA	80	74000	no	The BEST CONTROL PARTY In Baldur's Gate 3 - Honor Mode Full Party Build Guide
-1LMAZecWqs	39	138000	no	The RADIANT STAR - Shadowheart Light Cleric / Star Druid Debuff Honour Build Guide
f7uewDCrrqQ	90	207000	yes	FEATS Tier List - [Updated] Baldur's Gate 3 Honour Mode Guide
Ie2BhFO_VtM	49	37000	no	COMPLETE Beast Master Ranger Companions Guide - BG3 Mechanics and Summons Deep Dive
P-8IG1KkR0U	60	131000	yes	The MOST UNDERRATED SUBCLASSES in Baldur's Gate 3
iVOxw7TWYa0	42	100000	no	BURN IT ALL DOWN - [Updated] Baldur's Gate 3 Fire Sorcerer Honour Build Guide
4KkXqqeKz80	34	59000	no	Which Spells WORK TOGETHER? - BG3 AoE Spell Combo and Mechanics Deep Dive
ZRw21dl-MaM	38	44000	no	The SHADOW SLAUGHTERER - Shadowheart Death Cleric / Shadow Monk Honour Build Guide
zDtekNmY2Fs	31	38000	no	TEN MORE AMAZING MODS for Consoles / Macs / PC - BG3 Mod Highlights January 2026
7qt8Q6KB9Ks	40	29000	no	The SWARM SORCERER - Lock Down Every Enemy - BG3 Ranger / Sorcerer Honour Build Guide
sl4Hj2G3F-0	38	38000	no	The ULTIMATE PROTECTOR - BG3 Karlach Barbarian / Paladin Honour Build Guide
P1jV6rA-rQo	44	317000	no	The 10 MOST FUN BUILDS in Baldur's Gate 3
Dbm7lINEQ9k	36	42000	no	The PUNCH WIZARD - BG3 Wizard / Monk Honour Mode Build Guide
AE8V2dBWdqM	78	41000	no	The BEST ALL BARD PARTY In Baldur's Gate 3 - Honor Mode Full Party Build Guide
PTAxrNWT2wE	31	54000	no	How Save DCs ACTUALLY WORK in Baldur's Gate 3 - Guide and Mythbusting Deep Dive
IpvkPqOjD4g	41	91000	yes	The 10 (Actually 11) WORST SPELLS in Baldur's Gate 3 - And How To Fix Them
xLE9DCUHM9I	33	137000	yes	The 10 (Actually 11) BEST SPELLS in Baldur's Gate 3 - Honour Mode Guide
p1bShxVlaDo	44	40000	no	The DASHING SWORDSMAN - BG3 Astarion Rogue / Bard / Paladin Build Guide
bsIcgiT-zXE	42	26000	no	The TYRANNICAL TAUNTER - BG3's Only True Tank - Minthara / Paladin Honour Guide - Modded Bg3
0FfrSoE0ah4	72	139000	no	The BEST NO REST PARTY In Baldur's Gate 3 - Honor Mode Full Party Build Guide
s3BMHwCZo8I	41	45000	no	The OMNICASTER - ALL The Best Spells On One Character - BG3 Bard / Wizard / Cleric Honour Guide
gMKcEeJfRGM	43	51000	no	The PERFECT PARTY LEADER - BG3 Wyll Valour Bard / Warlock Honour Build Guide
mKVfj4zdZbw	34	38000	no	The WRATH OF NATURE - Infinite Tank - BG3 Karlach / Jaheira Barbarian / Druid Honour Build Guide
-ZrNOKm_Reo	29	16000	no	GO FOR THE EYES BOO - The Ultimate Boo Throwing Build - BG3 Minsc Barbarian / Rogue Honour Guide
iQmixBrUrLM	37	34000	no	JACK OF ALL TRADES on HONOUR - [Updated] BG3 One Of Every Class Honour Build Guide
UKgEiB0S6Xk	100	178000	yes	The BEST SPELLS in Baldur's Gate 3 - [Updated] Complete Guide to Spells of Every Level
kV8qCWPXOhs	31	38000	no	TEN MORE AMAZING MODS for Consoles / Macs / PC - BG3 Mod Highlights September 2025
hZAbp5ZecVs	39	107000	no	The LICH QUEEN OF SHAR - BG3 Shadowheart Death Cleric / Wizard Honour Build Guide
baaPlLrPG4U	43	172000	no	The INVINCIBLE LIGHTNING LORD - BG3 Honour Mode Gale / Wizard Build Guide
ZEhzdnk5zGA	63	69000	yes	ULTIMATE SPELLS GUIDE - [Updated] BG3 Spells Tier List - Level 6
jhKY71bMDuw	53	48000	yes	ULTIMATE SPELLS GUIDE - [Updated] BG3 Spells Tier List - Level 5
U6s3AsH8Ajw	42	34000	yes	ULTIMATE SPELLS GUIDE - [Updated] BG3 Spells Tier List - Level 4 Part 2
vkcAg7oJ328	38	36000	yes	ULTIMATE SPELLS GUIDE - [Updated] BG3 Spells Tier List - Level 4 Part 1
MgHGV4vfKig	50	45000	yes	ULTIMATE SPELLS GUIDE - [Updated] BG3 Spells Tier List - Level 3 Part 2
y0rRBZarf2Q	49	49000	yes	ULTIMATE SPELLS GUIDE - [Updated] BG3 Spells Tier List - Level 3 Part 1
FVYG4x5HiuM	60	49000	yes	ULTIMATE SPELLS GUIDE - [Updated] BG3 Spells Tier List - Level 2 Part 2
xY5hyRLIdxE	59	58000	yes	ULTIMATE SPELLS GUIDE - [Updated] BG3 Spells Tier List - Level 2 Part 1
ql_t-8OWHVM	61	76000	yes	ULTIMATE SPELLS GUIDE - [Updated] BG3 Spells Tier List - Level 1 Part 2
vIGOO9HAv5g	69	137000	yes	ULTIMATE SPELLS GUIDE - [Updated] BG3 Spells Tier List - Level 1 Part 1
pd8mQNq8xbE	42	102000	no	The CONSISTENT KILLER - [Updated] BG3  Lae'zel / Fighter Thrower Honour Build Guide
mgqMv2h-0x0	65	325000	yes	EVEN MORE About Spells - BG3 Cantrips Tier List  [Updated] - Patch 8 Honour Mode Guide
ByNZDtQrjMA	37	84000	no	The WAR TIGER - BG3 Karlach Barbarian / Warlock Honour Build Guide
DsB88Y5kOlY	37	40000	no	The SIBILANT SEDUCER - BG3 Shadowheart / Dark Urge Bard / Warlock Honour Build Guide
oOtFhJ8-9jk	29	66000	no	The BIGGEST BEAR Oneshots Everything - BG3 Halsin Giant Barbarian / Druid Honour Build Guide
rVv9dIZHeO8	63	86000	yes	MULTI-CHARACTER TIER LIST - Which Classes Get Better In Multiples? - BG3 Honour Mode Build Guide
s2TJ7kOaJmA	39	98000	no	The ULTIMATE ARCHER - BG3 Astarion Arcane Archer Fighter / Bard Honour Build Guide
